"","searchText","label","alias","description","uri","methodSitelinks","methodSitelinksResult","methodB","methodBResult","methodCMatch","methodCResult","methodC","matchFilter"
"90","Annus Mirabilis","Annus Mirabilis","","poem by John Dryden","http://www.wikidata.org/entity/Q567422",FALSE,NA,FALSE,NA,3,"Q567422",TRUE,TRUE
"91","Daily Herald","Daily Herald","","British daily newspaper","http://www.wikidata.org/entity/Q2713264",FALSE,NA,FALSE,NA,3,"Q2713264",TRUE,TRUE
"92","electrical equipment","electrical equipment","","machine powered by electricity","http://www.wikidata.org/entity/Q3749263",FALSE,NA,FALSE,NA,3,"Q3749263",TRUE,TRUE
"93","honorary degree","honorary degree","","degree awarded waiving requirements to honour an individual","http://www.wikidata.org/entity/Q209896",FALSE,NA,FALSE,NA,3,"Q209896",TRUE,TRUE
"94","Second Class","Second Class","","2012 film","http://www.wikidata.org/entity/Q14955278",FALSE,NA,FALSE,NA,3,"Q14955278",TRUE,TRUE
"95","advisory board","advisory board","","body providing strategic advice to an organisation","http://www.wikidata.org/entity/Q4686866",FALSE,NA,FALSE,NA,2,"Q4686866",TRUE,TRUE
"96","Austrian citizenship","Austrian nationality law","Austrian citizenship","","http://www.wikidata.org/entity/Q305961",FALSE,NA,FALSE,NA,2,"Q305961",TRUE,TRUE
"97","award ceremony","award ceremony","","event and/or television programming genre based on the presentation of an award","http://www.wikidata.org/entity/Q4504495",FALSE,NA,FALSE,NA,2,"Q4504495",TRUE,TRUE
"98","External links","Template:External links","External links","Wikimedia template","http://www.wikidata.org/entity/Q13365838",FALSE,NA,FALSE,NA,2,"Q13365838",TRUE,TRUE
"99","personal God","personal god","","deity who can be related to as a person","http://www.wikidata.org/entity/Q1932138",FALSE,NA,FALSE,NA,2,"Q1932138",TRUE,TRUE
"100","Personal life","personal life","","course of an individual's life, especially when viewed as the sum of personal choices contributing to one's personal identity","http://www.wikidata.org/entity/Q2867027",FALSE,NA,FALSE,NA,2,"Q2867027",TRUE,TRUE
"101","second derivative","second derivative","","mathematical operation","http://www.wikidata.org/entity/Q1932744",FALSE,NA,FALSE,NA,2,"Q1932744",TRUE,TRUE
"102","Shapell Manuscript Foundation","Shapell Manuscript Foundation","","","http://www.wikidata.org/entity/Q18210228",FALSE,NA,FALSE,NA,2,"Q18210228",TRUE,TRUE
"103","static universe","static universe","","model of the universe that is not expanding or contracting, e.g. one in which the cosmological constant exactly balances things","http://www.wikidata.org/entity/Q1190516",FALSE,NA,FALSE,NA,2,"Q1190516",TRUE,TRUE
"104","thermal equilibrium","thermal equilibrium","","state of no net thermal energy flow between two connected systems","http://www.wikidata.org/entity/Q3175122",FALSE,NA,FALSE,NA,2,"Q3175122",TRUE,TRUE
"105","de Reynold","de Reynold","","family name","http://www.wikidata.org/entity/Q76477736",FALSE,NA,FALSE,NA,1,"Q76477736",TRUE,TRUE
"106","Early life","Early life","","","http://www.wikidata.org/entity/Q57241503",FALSE,NA,FALSE,NA,1,"Q57241503",TRUE,TRUE
"107","Ramón y Cajal","Ramón y Cajal","","family name","http://www.wikidata.org/entity/Q47453882",FALSE,NA,FALSE,NA,1,"Q47453882",TRUE,TRUE
"108","real name","taboo name","real name","","http://www.wikidata.org/entity/Q64026473",FALSE,NA,FALSE,NA,1,"Q64026473",TRUE,TRUE
"109","state model","state model","","","http://www.wikidata.org/entity/Q2325086",FALSE,NA,FALSE,NA,1,"Q2325086",TRUE,TRUE
"110","covariant tensor","covariant tensor","","","http://www.wikidata.org/entity/Q77982957",FALSE,NA,FALSE,NA,0,"Q77982957",TRUE,TRUE
"111","propaganda minister","minister of propaganda","propaganda minister","","http://www.wikidata.org/entity/Q20011328",FALSE,NA,FALSE,NA,0,"Q20011328",TRUE,TRUE
